Horodateur;Quel âge avez-vous ?;De quel sexe êtes-vous ?;Quelle est votre situation professionnelle ?;Quel type de profession exercez ou exerciez-vous ?;De quel diplôme disposez-vous ?;Avez-vous accès à du matériel numérique;Quel type de matériel utilisez-vous ?;A quelle fréquence utilisez-vous ce matériel ?;A quelle fréquence allez-vous sur internet ?;Avez-vous déjà réalisé des démarches administratives en ligne ?;Si oui, étiez-vous seul ou accompagné ?;Avez-vous déjà fait appel à une aide extérieure pour réaliser une démarche en ligne ?;Dans quel cadre avez-vous réalisé des démarches en ligne ?;Jugez-vous facile d'utilisation les services en ligne ?;Quels sont selon vous les freins à l'utilisation de services en ligne ?;Avez-vous déjà abandonné ou repoussé à un autre moment une démarche en ligne à cause de la difficulté ?;Seriez-vous intéressé par une aide pour les démarches en ligne ?;Vous êtes-vous déjà déplacé sur place alors qu'une démarche en ligne était possible ?;Savez-vous qu'il existe des formations à l'usage du numérique ?;Avez-vous déjà participé à une telle formation ?;Ce type de formation vous a-t-il aidé dans vos démarches administratives ?;Pourquoi n'avez-vous jamais réalisé de démarches en ligne ?
2025/11/16 7:03:49 AM UTC+1;30-50 ans;Femme;En emploi;Cadre supérieur;Plus que BAC +5 ou Doctorat;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;"Sites complexes;Utilisation du numérique difficile";Non;Non;Non;Non;;;
2025/11/16 7:05:03 AM UTC+1;18-30 ans;Femme;En emploi;Cadre supérieur;Plus que BAC +5 ou Doctorat;Oui;"Téléphone;Tablette;Ordinateur;Télévision;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis;";Oui;Sites complexes;Non;Non;Non;Non;;;
2025/11/16 7:06:22 AM UTC+1;18-30 ans;Homme;En emploi;Cadre supérieur;BAC +3 (Bachelor ou Licence);Oui;"Téléphone;Tablette;Ordinateur;Télévision;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Non;"Sites complexes;Manque de contact humain";Non;Non;Oui;Oui;Non;;
2025/11/16 7:08:08 AM UTC+1;18-30 ans;Homme;En emploi;Employé;Niveau BAC;Oui;"Téléphone;Ordinateur;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Accompagné;Oui;"Prise de rendez-vous;Déclaration d'impôts;Achats (loisirs, travaux, courses...);Banque et Assurances";Non;Sites complexes;Non;Non;Oui;Non;;;
2025/11/20 1:54:49 PM UTC+1;18-30 ans;Femme;Sans emploi;Etudiant;CAP;Oui;Téléphone;plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Achats (loisirs, travaux, courses...);Banque et Assurances";Non;"Sites complexes;Utilisation du numérique difficile;Manque de contact humain";Oui;Non;Oui;Non;;;
2025/11/20 1:58:54 PM UTC+1;18-30 ans;Femme;En emploi;Employé;Niveau BAC;Oui;"Téléphone;Ordinateur";plusieurs fois par jour;plusieurs fois par jour;Oui;Accompagné;Non;"Demande de documents administratifs (attestations, actes de naissance...);Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Demande de remboursement (mutuelle, CPAM...)";Non;"Sites complexes;Manque de contact humain";Oui;Oui;Non;Oui;Non;;
2025/11/20 2:05:43 PM UTC+1;18-30 ans;Femme;En emploi;Aide-soignante ;Niveau BAC;Oui;"Téléphone;Tablette;Ordinateur";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Déclaration d'impôts;Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;"Sites complexes;Utilisation du numérique difficile;Manque de contact humain";Oui;Oui;Oui;Non;;;
2025/11/20 2:11:15 PM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;Niveau BAC;Oui;"Téléphone;Ordinateur";plusieurs fois par jour;1 fois par jour;Oui;Seul;Non;"Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Achats (loisirs, travaux, courses...)";Oui;Sites complexes;Non;Non;Non;Oui;Non;;
2025/11/20 2:14:21 PM UTC+1;18-30 ans;Femme;En emploi;Infirmière;BAC +3 (Bachelor ou Licence);Oui;"Téléphone;Tablette;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;"Sites complexes;Manque de contact humain";Oui;Oui;Oui;Oui;Non;;
2025/11/20 2:16:18 PM UTC+1;30-50 ans;Femme;En emploi;Aide soignante ;CAP;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;Manque de contact humain;Oui;Non;Non;Oui;Non;;
2025/11/20 3:12:26 PM UTC+1;30-50 ans;Femme;En emploi;Artisan, commerçant, indépendant;BAC +2;Oui;"Téléphone;Ordinateur";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;Sites complexes;Non;Non;Non;Oui;Oui;Oui;
2025/11/20 3:24:54 PM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;BAC +2;Oui;"Téléphone;Tablette;Ordinateur;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances";Non;"Sites complexes;Manque de contact humain;Difficulté de lecture";Oui;Oui;Oui;Oui;Non;;
2025/11/20 3:41:45 PM UTC+1;50-70 ans;Femme;Retraité;Cadre supérieur;BAC +3 (Bachelor ou Licence);Oui;"Téléphone;Tablette;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;Manque de contact humain;Non;Non;Oui;Oui;Non;;
2025/11/20 3:47:31 PM UTC+1;30-50 ans;Femme;En emploi;Artisan, commerçant, indépendant;Niveau BAC;Oui;"Téléphone;Tablette;Ordinateur;Télévision;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;Je suis assistante administrative indépendante donc n'est aucunes difficultés à l'utilisation de service en ligne. Mais, je comprends les difficultés que peuvent traverser certains usagers;Non;Non;Non;Oui;Non;;
2025/11/20 3:57:25 PM UTC+1;18-30 ans;Femme;En emploi;Employé;Niveau BAC;Oui;"Téléphone;Tablette;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;"Utilisation du numérique difficile;Manque de contact humain";Oui;Non;Oui;Non;;;
2025/11/20 4:20:20 PM UTC+1;30-50 ans;Femme;En emploi;Employé;Niveau BAC;Oui;"Téléphone;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;"Sites complexes;Utilisation du numérique difficile;Manque de contact humain;Difficulté de lecture";Non;Non;Non;Oui;Non;;
2025/11/20 5:57:09 PM UTC+1;18-30 ans;Femme;En emploi;Employé;Niveau Brevet;Oui;"Téléphone;Tablette;Ordinateur;Télévision;Console de jeu";plusieurs fois par jour;1 fois par jour;Oui;Accompagné;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Achats (loisirs, travaux, courses...)";Oui;"Manque de contact humain;Difficulté de lecture";Oui;Non;Oui;Non;;;
2025/11/20 6:02:10 PM UTC+1;50-70 ans;Femme;En emploi;Employé;Niveau Brevet;Oui;"Téléphone;Tablette;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Accompagné;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;Manque de contact humain;Oui;Non;Non;Oui;Non;;
